PATH,SLEEP,INJECTION,ANIMAL,SESSIONNO,SHANKNO
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering-1/RatA14/RatA14PBSSD/RatA14d2shank6/RatA14d2shank6/RatA14d2shank6.GUI,SD,CTRL,A14,2,6
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering-1/RatA14/RatA14PBSSD/RatA14d2shank7/RatA14d2shank7/RatA14d2shank7.GUI,SD,CTRL,A14,2,7
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering-1/RatA14/RatA14PBSSD/RatA14d2shank8/RatA14d2shank8/RatA14d2shank8.GUI,SD,CTRL,A14,2,8

/run/media/mdalam/data2/lost+found/cAMP-project/Clustering-1/RatA14/RatA14d4ROLSD/RatA14d4shank1/RatA14d4shank1/RatA14d4shank1-processed.GUI,SD,ROL,A14,4,1
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering-1/RatA14/RatA14d4ROLSD/RatA14d4shank2/RatA14d4shank2/RatA14d4shank2-processed.GUI,SD,ROL,A14,4,2
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering-1/RatA14/RatA14d4ROLSD/RatA14d4shank4/RatA14d4shank4/RatA14d4shank4-processed.GUI,SD,ROL,A14,4,4
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering-1/RatA14/RatA14d4ROLSD/RatA14d4shank5/RatA14d4shank5/RatA14d4shank5-processed.GUI,SD,ROL,A14,4,5
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering-1/RatA14/RatA14d4ROLSD/RatA14d4shank6/RatA14d4shank6/RatA14d4shank6-processed.GUI,SD,ROL,A14,4,6
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering-1/RatA14/RatA14d4ROLSD/RatA14d4shank7/RatA14d4shank7/RatA14d4shank7-processed.GUI,SD,ROL,A14,4,7
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering-1/RatA14/RatA14d4ROLSD/RatA14d4shank8/RatA14d4shank8/RatA14d4shank8-processed.GUI,SD,ROL,A14,4,8

/run/media/mdalam/data2/lost+found/cAMP-project/Clustering/BGSDROL/Shank1/Shank1/Shank1-processed.GUI,SD,ROL,BG,5,1
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering/BGSDROL/Shank2/Shank2/Shank2-processed.GUI,SD,ROL,BG,5,2
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering/BGSDROL/Shank3/Shank3/Shank3-processed.GUI,SD,ROL,BG,5,3
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering/BGSDROL/Shank4/Shank4/Shank4-processed.GUI,SD,ROL,BG,5,4
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering/BGSDROL/Shank5/Shank5/Shank5-processed.GUI,SD,ROL,BG,5,5
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering/BGSDROL/Shank6/Shank6/Shank6-processed.GUI,SD,ROL,BG,5,6
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering/BGSDROL/Shank7/Shank7/Shank7-processed.GUI,SD,ROL,BG,5,7
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering/BGSDROL/Shank8/Shank8/Shank8-processed.GUI,SD,ROL,BG,5,8

/run/media/mdalam/data2/lost+found/cAMP-project/Clustering/BGSDSAL/shank1/shank1/shank1-processed.GUI,SD,CTRL,BG,6,1
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering/BGSDSAL/shank2/shank2/shank2-processed.GUI,SD,CTRL,BG,6,2
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering/BGSDSAL/shank3/shank3/shank3-processed.GUI,SD,CTRL,BG,6,3
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering/BGSDSAL/shank4/shank4/shank4-processed.GUI,SD,CTRL,BG,6,4
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering/BGSDSAL/shank5/shank5/shank5-processed.GUI,SD,CTRL,BG,6,5
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering/BGSDSAL/shank6/shank6/shank6-processed.GUI,SD,CTRL,BG,6,6
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering/BGSDSAL/shank7/shank7/shank7-processed.GUI,SD,CTRL,BG,6,7
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering/BGSDSAL/shank8/shank8/shank8-processed.GUI,SD,CTRL,BG,6,8
